name,value
model_type,graph
gnn_layer,graphconv
pooling_method,target
outpath,results
outname,G1_
obs_window_start,1990
obs_window_end,2010
batchsize,250
num_workers,1
max_epochs,100
patience,5
learning_rate,0.001
main_hidden_dim,20
lstm_hidden_dim,20
loss,bce_weighted_sum
gamma,1.0
alpha,1.0
beta,1.0
delta,1.0
dropout_rate,0.5
threshold_opt,precision_recall
ratio,0.5
local_test,False
explainability_mode,False
embeddings_mode,False
explainer_input,
device_specification,na
num_positive_samples,5000
device,cuda
num_batches_train,111
num_samples_train_dataset,27565
num_samples_train_minority_class,3050
num_samples_train_majority_class,24515
num_batches_validate,16
num_samples_valid_dataset,3872
num_samples_valid_minority_class,434
num_samples_valid_majority_class,3438
num_batches_test,32
include_longitudinal,False
num_features_static,3
num_features_alt_static,14
num_features_longitudinal,0
threshold,0.6000000000000004
training_time,4195.140148639679
metric_auc_roc,0.7899786397615208
metric_auc_prc,0.2944104736552168
metric_f1,0.36238394728960766
metric_recall,0.693012600229095
metric_mcc,0.2889237438242811
metric_ts,0.2212874908558888
metric_bss,-1.1572854858400454
true_negatives,5126
false_positives,1861
false_negatives,268
true_positives,605
