name,value
model_type,graph
gnn_layer,graphconv
pooling_method,target
outpath,results
outname,G2_TestDisease
obs_window_start,1990
obs_window_end,2010
batchsize,250
num_workers,0
max_epochs,100
patience,5
learning_rate,0.001
main_hidden_dim,20
lstm_hidden_dim,20
loss,bce_weighted_sum
gamma,1.0
alpha,1.0
beta,1.0
delta,1.0
dropout_rate,0.5
threshold_opt,precision_recall
ratio,0.5
local_test,False
explainability_mode,False
embeddings_mode,False
explainer_input,
device_specification,na
num_positive_samples,5000
device,cuda
num_batches_train,111
num_samples_train_dataset,27565
num_samples_train_minority_class,3050
num_samples_train_majority_class,24515
num_batches_validate,16
num_samples_valid_dataset,3872
num_samples_valid_minority_class,434
num_samples_valid_majority_class,3438
num_batches_test,32
include_longitudinal,True
num_features_static,3
num_features_alt_static,14
num_features_longitudinal,20
threshold,0.6170000000000004
training_time,6174.470857858658
metric_auc_roc,0.7963438400000262
metric_auc_prc,0.29804319049839806
metric_f1,0.3559322033898305
metric_recall,0.7457044673539519
metric_mcc,0.28923505948142575
metric_ts,0.21649484536082475
metric_bss,-1.277278362313211
true_negatives,4853
false_positives,2134
false_negatives,222
true_positives,651
