name,value
model_type,baseline
gnn_layer,graphconv
pooling_method,target
outpath,results
outname,a1_TestDisease
obs_window_start,1990
obs_window_end,2010
batchsize,250
num_workers,1
max_epochs,100
patience,5
learning_rate,0.001
main_hidden_dim,20
lstm_hidden_dim,20
loss,bce_weighted_single
gamma,1.0
alpha,1.0
beta,1.0
delta,1.0
dropout_rate,0.5
threshold_opt,precision_recall
ratio,0.5
local_test,False
explainability_mode,False
embeddings_mode,False
explainer_input,
device_specification,cpu
num_positive_samples,5000
device,cpu
num_batches_train,111
num_samples_train_dataset,27565
num_samples_train_minority_class,3050
num_samples_train_majority_class,24515
num_batches_validate,16
num_samples_valid_dataset,3872
num_samples_valid_minority_class,434
num_samples_valid_majority_class,3438
num_batches_test,32
include_longitudinal,False
num_features_static,2
num_features_longitudinal,0
threshold,0.49600000000000033
training_time,53.36481332778931
metric_auc_roc,0.5931501654766805
metric_auc_prc,0.14671093953760406
metric_f1,0.2304302203567681
metric_recall,0.6288659793814433
metric_mcc,0.09452471055036216
metric_ts,0.13021821631878558
metric_bss,-1.5256633522099596
true_negatives,3644
false_positives,3343
false_negatives,324
true_positives,549
